card,segment,abc_revenue
2000200168843,Лояльные,A
2000200170174,Лояльные,A
2000200235804,Лояльные,A
2000200205975,Лояльные,A
2000200211303,Лояльные,A
2000200206842,Лояльные,A
2000200204886,Лояльные,A
2000200196969,Лояльные,A
2000200196204,Лояльные,A
2000200166214,Лояльные,A
2000200195955,Лояльные,A
2000200173380,Лояльные,A
2000200227496,Лояльные,A
2000200218449,Лояльные,A
2000200153153,Лояльные,A
2000200169635,Лояльные,A
2000200195498,Лояльные,A
2000200248026,Лояльные,A
2000200182757,Лояльные,A
2000200217404,Лояльные,A
2000200192701,Лояльные,A
2000200196662,Лояльные,A
2000200174073,Лояльные,A
2000200248163,Лояльные,A
2000200204312,Лояльные,A
2000200169086,Лояльные,A
2000200198116,Лояльные,A
2000200173373,Лояльные,A
2000200170129,Лояльные,A
2000200182696,Лояльные,A
2000200184140,Лояльные,A
2000200207542,Лояльные,A
2000200217527,Лояльные,A
2000200189909,Лояльные,A
2000200160236,Лояльные,A
2000200167204,Лояльные,A
2000200197775,Лояльные,A
2000200170341,Лояльные,A
2000200208662,Лояльные,A
2000200158424,Лояльные,A
2000200211426,Лояльные,A
2000200159612,Лояльные,A
2000200233725,Лояльные,A
2000200193692,Лояльные,A
2000200181842,Лояльные,A
2000200249696,Лояльные,A
2000200216117,Лояльные,A
2000200155690,Лояльные,A
2000200200000,Лояльные,A
2000200225898,Лояльные,A
2000200172390,Лояльные,A
2000200217206,Лояльные,A
2000200194224,Лояльные,A
2000200197768,Лояльные,A
2000200191834,Лояльные,A
2000200196259,Лояльные,A
2000200192596,Лояльные,A
2000200233596,Лояльные,A
2000200222255,Лояльные,A
2000200208068,Лояльные,A
2000200156772,Лояльные,A
2000200155782,Лояльные,A
2000200167587,Лояльные,A
2000200206576,Лояльные,A
2000200208150,Лояльные,A
2000200209430,Лояльные,A
2000200247340,Лояльные,A
2000200166320,Лояльные,A
2000200170556,Лояльные,A
2000200171591,Лояльные,A
2000200185178,Лояльные,A
2000200196501,Лояльные,A
2000200198826,Лояльные,A
2000200241225,Лояльные,A
2000200222958,Лояльные,A
2000200208501,Лояльные,A
2000200241430,Лояльные,A
2000200197287,Лояльные,A
2000200221425,Лояльные,A
2000200183624,Лояльные,A
2000200197119,Лояльные,A
2000200213475,Лояльные,A
2000200159834,Лояльные,A
2000200207122,Лояльные,A
2000200222361,Лояльные,A
2000200221104,Лояльные,A
2000200222194,Лояльные,A
2000200238409,Лояльные,A
2000200235149,Лояльные,A
2000200248019,Лояльные,A
2000200206132,Лояльные,A
2000200170969,Лояльные,A
2000200189497,Лояльные,A
2000200225591,Лояльные,A
2000200209386,Лояльные,A
2000200161554,Лояльные,A
2000200173274,Лояльные,A
2000200213529,Лояльные,A
2000200226284,Лояльные,A
2000200172376,Лояльные,A
2000200181569,Лояльные,A
2000200159155,Лояльные,A
2000200213321,Лояльные,A
2000200227595,Лояльные,A
2000200215479,Лояльные,A
2000200174028,Лояльные,A
2000200248286,Лояльные,A
2000200194965,Лояльные,A
2000200183365,Лояльные,A
2000200217794,Лояльные,A
2000200240099,Лояльные,A
2000200209669,Лояльные,A
2000200150688,Лояльные,A
2000200192985,Лояльные,A
2000200175803,Лояльные,A
2000200181514,Лояльные,A
2000200170655,Лояльные,A
2000200220343,Лояльные,A
2000200193623,Лояльные,A
2000200185758,Лояльные,A
2000200159049,Лояльные,A
2000200210313,Лояльные,A
2000200225294,Лояльные,A
2000200231943,Лояльные,A
2000200197096,Лояльные,A
2000200224167,Лояльные,A
2000200196822,Лояльные,A
2000200216438,Лояльные,A
2000200178187,Лояльные,A
2000200150596,Лояльные,A
2000200170297,Лояльные,A
2000200199311,Лояльные,A
2000200207221,Лояльные,A
2000200240716,Лояльные,A
2000200243151,Лояльные,A
2000200200925,Лояльные,A
2000200197133,Лояльные,A
2000200206637,Лояльные,A
2000200243298,Лояльные,A
2000200179351,Лояльные,A
2000200193470,Лояльные,A
2000200188100,Лояльные,A
2000200206477,Лояльные,A
2000200154976,Лояльные,A
2000200201571,Лояльные,A
2000200159605,Лояльные,A
2000200240549,Лояльные,A
2000200177715,Лояльные,A
2000200196853,Лояльные,A
2000200197225,Лояльные,A
2000200226826,Лояльные,A
2000200198710,Лояльные,A
2000200230953,Лояльные,A
2000200210450,Лояльные,A
