card,segment,abc_revenue
2000200221500,Нельзя терять,A
2000200207726,Нельзя терять,A
2000200193685,Нельзя терять,A
2000200186281,Нельзя терять,A
2000200229513,Нельзя терять,A
2000200196419,Нельзя терять,A
2000200207931,Нельзя терять,A
2000200212720,Нельзя терять,A
2000200222620,Нельзя терять,A
2000200192848,Нельзя терять,A
2000200172888,Нельзя терять,A
2000200208853,Нельзя терять,A
2000200224976,Нельзя терять,A
2000200192541,Нельзя терять,A
2000200213437,Нельзя терять,A
2000200219767,Нельзя терять,A
2000200207764,Нельзя терять,A
2000200222569,Нельзя терять,A
2000200210382,Нельзя терять,A
2000200220787,Нельзя терять,A
2000200207481,Нельзя терять,A
2000200197010,Нельзя терять,A
2000200172611,Нельзя терять,A
2000200220831,Нельзя терять,A
2000200209195,Нельзя терять,A
2000200222736,Нельзя терять,A
2000200196235,Нельзя терять,A
2000200219330,Нельзя терять,A
2000200201175,Нельзя терять,A
2000200225256,Нельзя терять,A
2000200206095,Нельзя терять,A
2000200208778,Нельзя терять,A
2000200195320,Нельзя терять,A
2000200218425,Нельзя терять,A
2000200153252,Нельзя терять,A
2000200218975,Нельзя терять,A
2000200191391,Нельзя терять,A
2000200165842,Нельзя терять,A
2000200222187,Нельзя терять,A
2000200153320,Нельзя терять,A
2000200153139,Нельзя терять,A
2000200224730,Нельзя терять,A
2000200208556,Нельзя терять,A
2000200209393,Нельзя терять,A
2000200212386,Нельзя терять,A
2000200167198,Нельзя терять,A
2000200216377,Нельзя терять,A
2000200224211,Нельзя терять,A
2000200215851,Нельзя терять,A
2000200216100,Нельзя терять,A
2000200166788,Нельзя терять,A
2000200194323,Нельзя терять,A
2000200224587,Нельзя терять,A
2000200191414,Нельзя терять,A
2000200190059,Нельзя терять,A
2000200217954,Нельзя терять,A
2000200226192,Нельзя терять,A
2000200220596,Нельзя терять,A
2000200193234,Нельзя терять,A
2000200199199,Нельзя терять,A
2000200216070,Нельзя терять,A
2000200181170,Нельзя терять,A
2000200161295,Нельзя терять,A
2000200194279,Нельзя терять,A
