card,segment,abc_revenue
2000200208877,Под угрозой,A
2000200216056,Под угрозой,A
2000200194316,Под угрозой,A
2000200207863,Под угрозой,A
2000200206507,Под угрозой,A
2000200223351,Под угрозой,A
2000200209300,Под угрозой,A
2000200161561,Под угрозой,A
2000200165057,Под угрозой,A
2000200220305,Под угрозой,A
2000200205685,Под угрозой,A
2000200227113,Под угрозой,A
2000200200062,Под угрозой,A
2000200207702,Под угрозой,A
2000200165439,Под угрозой,A
2000200195047,Под угрозой,A
2000200171058,Под угрозой,A
2000200165248,Под угрозой,A
2000200160748,Под угрозой,A
2000200216445,Под угрозой,A
2000200220695,Под угрозой,A
2000200185925,Под угрозой,A
2000200172291,Под угрозой,A
2000200155645,Под угрозой,A
2000200193753,Под угрозой,A
2000200220589,Под угрозой,A
2000200228714,Под угрозой,A
2000200227878,Под угрозой,A
2000200197102,Под угрозой,A
2000200228264,Под угрозой,A
2000200249221,Под угрозой,A
2000200206491,Под угрозой,A
2000200206521,Под угрозой,A
2000200233916,Под угрозой,A
2000200231271,Под угрозой,A
2000200194880,Под угрозой,A
2000200184591,Под угрозой,A
2000200207306,Под угрозой,A
2000200181279,Под угрозой,A
2000200248057,Под угрозой,A
2000200206750,Под угрозой,A
2000200157861,Под угрозой,A
2000200235972,Под угрозой,A
2000200222491,Под угрозой,A
2000200219637,Под угрозой,A
2000200193555,Под угрозой,A
2000200206446,Под угрозой,A
2000200227342,Под угрозой,A
2000200221753,Под угрозой,A
2000200170945,Под угрозой,A
2000200183686,Под угрозой,A
2000200205715,Под угрозой,A
2000200208372,Под угрозой,A
2000200228851,Под угрозой,A
2000200249184,Под угрозой,A
2000200181828,Под угрозой,A
2000200230564,Под угрозой,A
2000200210740,Под угрозой,A
2000200235828,Под угрозой,A
2000200211297,Под угрозой,A
2000200228974,Под угрозой,A
2000200188049,Под угрозой,A
2000200213161,Под угрозой,A
2000200192435,Под угрозой,A
2000200229957,Под угрозой,A
2000200220435,Под угрозой,A
2000200170037,Под угрозой,A
2000200197324,Под угрозой,A
2000200163831,Под угрозой,A
2000200229926,Под угрозой,A
2000200167044,Под угрозой,A
2000200217879,Под угрозой,A
2000200168737,Под угрозой,A
2000200230588,Под угрозой,A
2000200191926,Под угрозой,A
2000200235095,Под угрозой,A
2000200215530,Под угрозой,A
2000200205012,Под угрозой,A
2000200223948,Под угрозой,A
2000200161219,Под угрозой,A
2000200150190,Под угрозой,A
2000200212164,Под угрозой,A
2000200193722,Под угрозой,A
2000200225744,Под угрозой,A
2000200211174,Под угрозой,B
2000200179238,Под угрозой,B
2000200233732,Под угрозой,B
2000200223900,Под угрозой,B
2000200223085,Под угрозой,B
2000200248118,Под угрозой,B
2000200218272,Под угрозой,B
2000200207375,Под угрозой,B
2000200195863,Под угрозой,B
2000200205159,Под угрозой,B
2000200226949,Под угрозой,B
2000200152620,Под угрозой,B
2000200158905,Под угрозой,B
2000200195948,Под угрозой,B
2000200248729,Под угрозой,B
2000200191902,Под угрозой,B
2000200196693,Под угрозой,B
2000200201526,Под угрозой,B
2000200236337,Под угрозой,B
2000200212072,Под угрозой,B
2000200229568,Под угрозой,B
2000200232636,Под угрозой,B
2000200150459,Под угрозой,B
2000200154334,Под угрозой,B
2000200232896,Под угрозой,B
2000200205265,Под угрозой,B
2000200186885,Под угрозой,B
2000200180197,Под угрозой,B
2000200181439,Под угрозой,B
2000200205807,Под угрозой,B
2000200184270,Под угрозой,B
2000200201090,Под угрозой,B
2000200160076,Под угрозой,B
2000200206613,Под угрозой,B
2000200230533,Под угрозой,B
2000200233824,Под угрозой,B
2000200206569,Под угрозой,B
2000200157083,Под угрозой,B
2000200235446,Под угрозой,B
2000200245667,Под угрозой,B
2000200226062,Под угрозой,B
2000200233367,Под угрозой,B
2000200231981,Под угрозой,B
2000200176718,Под угрозой,B
2000200214717,Под угрозой,B
2000200194545,Под угрозой,B
2000200208303,Под угрозой,B
2000200217503,Под угрозой,B
2000200233411,Под угрозой,B
2000200157212,Под угрозой,B
2000200160267,Под угрозой,B
2000200176763,Под угрозой,B
2000200232643,Под угрозой,B
2000200194330,Под угрозой,B
2000200156888,Под угрозой,B
2000200209836,Под угрозой,B
2000200198604,Под угрозой,B
2000200208938,Под угрозой,B
2000200247807,Под угрозой,B
2000200184089,Под угрозой,B
2000200223689,Под угрозой,B
2000200225607,Под угрозой,B
2000200228387,Под угрозой,B
2000200230861,Под угрозой,B
2000200211655,Под угрозой,B
2000200233848,Под угрозой,B
2000200235415,Под угрозой,B
2000200229025,Под угрозой,B
2000200223276,Под угрозой,B
2000200215868,Под угрозой,B
2000200190097,Под угрозой,B
2000200182832,Под угрозой,B
2000200230878,Под угрозой,B
2000200233831,Под угрозой,B
2000200233398,Под угрозой,B
2000200210511,Под угрозой,B
2000200182146,Под угрозой,B
2000200226277,Под угрозой,B
2000200175230,Под угрозой,B
2000200161257,Под угрозой,B
2000200214434,Под угрозой,B
2000200224877,Под угрозой,B
2000200228882,Под угрозой,B
2000200202202,Под угрозой,B
2000200233268,Под угрозой,B
2000200228332,Под угрозой,B
2000200205913,Под угрозой,B
2000200184157,Под угрозой,B
2000200222323,Под угрозой,B
2000200214441,Под угрозой,B
2000200196273,Под угрозой,B
2000200233305,Под угрозой,B
2000200229544,Под угрозой,B
2000200165118,Под угрозой,B
2000200193845,Под угрозой,B
2000200215424,Под угрозой,B
2000200221272,Под угрозой,B
2000200211037,Под угрозой,B
2000200226109,Под угрозой,B
2000200206866,Под угрозой,B
2000200188360,Под угрозой,B
2000200223504,Под угрозой,B
2000200234760,Под угрозой,B
2000200216162,Под угрозой,B
2000200208327,Под угрозой,B
2000200159339,Под угрозой,B
2000200235187,Под угрозой,B
2000200228141,Под угрозой,B
2000200211518,Под угрозой,B
2000200221456,Под угрозой,B
2000200221210,Под угрозой,B
2000200194583,Под угрозой,B
2000200184232,Под угрозой,B
2000200211150,Под угрозой,B
2000200212270,Под угрозой,B
2000200181873,Под угрозой,B
2000200207467,Под угрозой,B
2000200196099,Под угрозой,B
2000200214182,Под угрозой,B
2000200175810,Под угрозой,B
2000200194552,Под угрозой,B
2000200152651,Под угрозой,B
2000200215066,Под угрозой,B
2000200225768,Под угрозой,B
2000200209126,Под угрозой,B
2000200217220,Под угрозой,B
2000200229810,Под угрозой,B
2000200212393,Под угрозой,B
2000200235408,Под угрозой,B
2000200239093,Под угрозой,B
2000200239369,Под угрозой,B
2000200203063,Под угрозой,B
2000200218920,Под угрозой,B
2000200232568,Под угрозой,B
2000200238218,Под угрозой,B
2000200231646,Под угрозой,B
2000200219422,Под угрозой,B
2000200180258,Под угрозой,B
2000200178842,Под угрозой,B
2000200222804,Под угрозой,B
2000200238447,Под угрозой,B
2000200212560,Под угрозой,B
2000200220114,Под угрозой,B
2000200239666,Под угрозой,B
2000200179689,Под угрозой,B
2000200179573,Под угрозой,B
2000200243236,Под угрозой,B
2000200240051,Под угрозой,B
2000200235194,Под угрозой,B
2000200158295,Под угрозой,B
2000200244165,Под угрозой,B
2000200241638,Под угрозой,B
2000200223870,Под угрозой,B
2000200220701,Под угрозой,B
2000200242994,Под угрозой,B
2000200237983,Под угрозой,B
2000200232070,Под угрозой,B
2000200227984,Под угрозой,B
2000200242819,Под угрозой,B
2000200202721,Под угрозой,B
2000200242741,Под угрозой,B
2000200220664,Под угрозой,B
2000200239017,Под угрозой,B
2000200200949,Под угрозой,B
2000200209584,Под угрозой,B
2000200212195,Под угрозой,B
2000200166382,Под угрозой,B
2000200231288,Под угрозой,B
2000200194064,Под угрозой,B
2000200243502,Под угрозой,B
2000200173830,Под угрозой,B
2000200212355,Под угрозой,B
2000200188247,Под угрозой,B
2000200233497,Под угрозой,B
2000200192909,Под угрозой,B
2000200207818,Под угрозой,B
2000200237105,Под угрозой,B
2000200236498,Под угрозой,B
2000200229070,Под угрозой,B
2000200179443,Под угрозой,B
2000200219019,Под угрозой,B
2000200203889,Под угрозой,B
