card,segment,abc_revenue
2000200218289,Потерянные,B
2000200161721,Потерянные,B
2000200225041,Потерянные,B
2000200204688,Потерянные,B
2000200218999,Потерянные,B
2000200194873,Потерянные,B
2000200195610,Потерянные,B
2000200158547,Потерянные,B
2000200218531,Потерянные,B
2000200207641,Потерянные,B
2000200225270,Потерянные,B
2000200199236,Потерянные,B
2000200175766,Потерянные,B
2000200183198,Потерянные,B
2000200196389,Потерянные,B
2000200211815,Потерянные,B
2000200195771,Потерянные,B
2000200216032,Потерянные,B
2000200207634,Потерянные,B
2000200220121,Потерянные,B
2000200201748,Потерянные,B
2000200218159,Потерянные,B
2000200204244,Потерянные,B
2000200224464,Потерянные,B
2000200150022,Потерянные,B
2000200196907,Потерянные,B
2000200150503,Потерянные,B
2000200217787,Потерянные,B
2000200193104,Потерянные,B
2000200202141,Потерянные,B
2000200184560,Потерянные,B
2000200197188,Потерянные,B
2000200216308,Потерянные,B
2000200184362,Потерянные,B
2000200209287,Потерянные,B
2000200190103,Потерянные,B
2000200226321,Потерянные,B
2000200219231,Потерянные,B
2000200223627,Потерянные,B
2000200207085,Потерянные,B
2000200204947,Потерянные,B
2000200206835,Потерянные,B
2000200227137,Потерянные,B
2000200228752,Потерянные,B
2000200165835,Потерянные,B
2000200167914,Потерянные,B
2000200222552,Потерянные,B
2000200201304,Потерянные,B
2000200208532,Потерянные,B
2000200226420,Потерянные,B
2000200207566,Потерянные,B
2000200164975,Потерянные,B
2000200208679,Потерянные,B
2000200165613,Потерянные,B
2000200197706,Потерянные,B
2000200216797,Потерянные,B
2000200221883,Потерянные,B
2000200218715,Потерянные,B
2000200220794,Потерянные,B
2000200179382,Потерянные,B
2000200179542,Потерянные,B
2000200194033,Потерянные,B
2000200218371,Потерянные,B
2000200208983,Потерянные,B
2000200209294,Потерянные,B
2000200207450,Потерянные,B
2000200211389,Потерянные,B
2000200228455,Потерянные,B
2000200201564,Потерянные,B
2000200156765,Потерянные,B
2000200168225,Потерянные,B
2000200198581,Потерянные,B
2000200185949,Потерянные,B
2000200150176,Потерянные,B
2000200229551,Потерянные,B
