card,segment,abc_revenue
2000200170860,Чемпионы,A
2000200196556,Чемпионы,A
2000200196600,Чемпионы,A
2000200189985,Чемпионы,A
2000200204541,Чемпионы,A
2000200150411,Чемпионы,A
2000200186205,Чемпионы,A
2000200205364,Чемпионы,A
2000200189596,Чемпионы,A
2000200195436,Чемпионы,A
2000200193746,Чемпионы,A
2000200186939,Чемпионы,A
2000200196112,Чемпионы,A
2000200197836,Чемпионы,A
2000200189077,Чемпионы,A
2000200204442,Чемпионы,A
2000200224594,Чемпионы,A
2000200194248,Чемпионы,A
2000200196020,Чемпионы,A
2000200208242,Чемпионы,A
2000200198765,Чемпионы,A
2000200220756,Чемпионы,A
2000200183761,Чемпионы,A
2000200221838,Чемпионы,A
2000200227281,Чемпионы,A
2000200196549,Чемпионы,A
2000200227274,Чемпионы,A
2000200208266,Чемпионы,A
2000200220619,Чемпионы,A
2000200214953,Чемпионы,A
2000200187264,Чемпионы,A
2000200174288,Чемпионы,A
2000200221951,Чемпионы,A
2000200223634,Чемпионы,A
2000200208259,Чемпионы,A
2000200206767,Чемпионы,A
2000200228868,Чемпионы,A
2000200188865,Чемпионы,A
2000200168690,Чемпионы,A
2000200211266,Чемпионы,A
2000200181880,Чемпионы,A
2000200217350,Чемпионы,A
2000200199106,Чемпионы,A
2000200224556,Чемпионы,A
2000200188995,Чемпионы,A
2000200176220,Чемпионы,A
2000200226871,Чемпионы,A
2000200194026,Чемпионы,A
2000200175728,Чемпионы,A
2000200170600,Чемпионы,A
2000200171355,Чемпионы,A
2000200207986,Чемпионы,A
2000200182634,Чемпионы,A
2000200195214,Чемпионы,A
2000200210283,Чемпионы,A
2000200207054,Чемпионы,A
2000200155522,Чемпионы,A
2000200200659,Чемпионы,A
2000200201496,Чемпионы,A
2000200188315,Чемпионы,A
2000200206651,Чемпионы,A
2000200186830,Чемпионы,A
2000200165224,Чемпионы,A
2000200202592,Чемпионы,A
2000200196075,Чемпионы,A
2000200163060,Чемпионы,A
2000200193937,Чемпионы,A
2000200197065,Чемпионы,A
2000200189381,Чемпионы,A
2000200168683,Чемпионы,A
2000200239246,Чемпионы,A
2000200210887,Чемпионы,A
2000200238867,Чемпионы,A
2000200217442,Чемпионы,A
2000200232605,Чемпионы,A
2000200195023,Чемпионы,A
2000200185918,Чемпионы,A
2000200165415,Чемпионы,A
2000200204565,Чемпионы,A
2000200182061,Чемпионы,A
2000200188704,Чемпионы,A
2000200217589,Чемпионы,A
2000200170594,Чемпионы,A
2000200165293,Чемпионы,A
2000200182337,Чемпионы,A
2000200193982,Чемпионы,A
2000200166665,Чемпионы,A
2000200177050,Чемпионы,A
2000200188582,Чемпионы,A
2000200226543,Чемпионы,A
2000200150701,Чемпионы,A
2000200203940,Чемпионы,A
2000200188162,Чемпионы,A
2000200160281,Чемпионы,A
2000200245445,Чемпионы,A
2000200207023,Чемпионы,A
2000200170327,Чемпионы,A
2000200203322,Чемпионы,A
2000200171492,Чемпионы,A
2000200224693,Чемпионы,A
2000200220381,Чемпионы,A
2000200160847,Чемпионы,A
2000200192053,Чемпионы,A
2000200239949,Чемпионы,A
